Date,Open,High,Low,Close,Adj Close,Volume
2022-05-26,1820.004639,1833.572388,1644.823486,1680.734863,1680.734863,21856829189
2022-05-27,1679.458984,1690.860718,1603.840088,1607.248657,1607.248657,23733144782
2022-05-28,1606.981323,1638.015015,1606.981323,1638.015015,1638.015015,21631065726
2022-05-29,1669.921631,1694.699707,1645.465088,1688.792969,1688.792969,9918745218
2022-05-30,1688.657837,1860.978027,1681.709717,1853.102783,1853.102783,18174965383
2022-05-31,1853.071899,1861.386475,1799.984009,1809.406738,1809.406738,17106454110
2022-06-01,1809.148315,1834.034912,1667.593140,1712.231323,1712.231323,19753335017
2022-06-02,1711.144775,1716.817383,1671.864868,1705.943481,1705.943481,15872194964
2022-06-03,1705.928955,1710.242676,1629.540771,1655.834106,1655.834106,13878542283
2022-06-04,1655.966797,1688.870117,1633.870605,1680.762939,1680.762939,8095860335
2022-06-05,1680.958374,1703.386353,1657.928467,1682.978149,1682.978149,8251144006
2022-06-06,1683.380005,1786.763672,1682.500000,1739.313477,1739.313477,15452567900
2022-06-07,1739.354614,1739.660645,1620.017822,1695.752441,1695.752441,22453703525
2022-06-08,1695.801392,1711.680176,1656.929321,1673.575195,1673.575195,16834429111
2022-06-09,1673.519653,1704.963135,1660.995483,1685.454102,1685.454102,11312552448
2022-06-10,1685.325928,1690.578247,1581.323486,1582.852417,1582.852417,17591309453
2022-06-11,1583.019409,1596.419922,1432.546021,1454.052246,1454.052246,20082777051
2022-06-12,1454.552368,1463.597412,1365.193359,1377.787109,1377.787109,22370264883
2022-06-13,1376.470459,1381.168945,1135.085205,1156.670532,1156.670532,43366438862
2022-06-14,1156.644165,1202.376709,1051.032104,1160.808228,1160.808228,31929024318
2022-06-15,1160.523682,1183.900146,978.542786,1179.338745,1179.338745,35900214734
2022-06-16,1179.718384,1191.635620,1003.838867,1012.365662,1012.365662,17927251886
2022-06-17,1012.609375,1056.988159,1006.675415,1034.879272,1034.879272,13897982368
2022-06-18,1034.744629,1043.115723,853.762512,946.681519,946.681519,20632058714
2022-06-19,946.456543,1089.556641,898.548462,1074.994873,1074.994873,20777632973
2022-06-20,1074.994751,1101.974487,1014.632629,1071.910889,1071.910889,18764096660
2022-06-21,1071.786865,1122.055664,1057.391235,1068.077148,1068.077148,14843450527
2022-06-22,1068.597778,1069.441772,993.482361,995.224426,995.224426,14208292282
2022-06-23,995.136780,1089.135132,994.055969,1086.933105,1086.933105,13934145595
2022-06-24,1086.760132,1173.377808,1077.517212,1162.225586,1162.225586,16087117295
2022-06-25,1162.111816,1180.745361,1122.169922,1177.953369,1177.953369,11824509597
2022-06-26,1177.518188,1205.126831,1135.178101,1135.580688,1135.580688,11448834475
2022-06-27,1135.468384,1166.016968,1114.285645,1128.219238,1128.219238,11807151617
2022-06-28,1127.990356,1157.806030,1107.567627,1157.806030,1157.806030,12872099840
